INDEX,Class,Time,Location,Shape,Margin,Elevation,Size,Color,Photo_Index
121,B,During,Window,1,2,1,3,NP,30
122,B,During,Window,2,3,5,4,NP,31
123,B,During,Window,3,2,1,2,Brown,32
124,B,During,Window,1,1,1,1,Yello,33
125,B,During,Window,1,1,1,3,NP,34
126,B,During,Window,1,1,1,4,NP,35
127,B,During,Window,1,1,1,3,NP,36
128,B,During,Window,1,5,1,3,MP,37
129,B,During,Window,1,1,1,3,NP,38
130,B,During,Window,1,1,1,1,Yello,39
131,B,During,Window,1,1,1,0,NP,40
132,B,During,Window,1,4,1,3,Orange,41
133,B,During,Window,4,6,1,3,Cyan,42
134,B,During,Window,1,4,5,4,Pink,43
135,B,During,Window,1,1,1,1,NP,44
136,B,During,Hall,1,1,1,1,Yello,1
137,B,During,Hall,1,1,1,2,NP,2
138,B,During,Hall,1,1,1,1,Yello,3
139,B,During,Hall,1,1,1,1,NP,4
140,B,During,Hall,1,1,1,2,Yello,5
141,B,During,Hall,3,3,3,3,NP,6
142,B,During,Hall,3,3,3,3,NP,7
143,B,During,Hall,1,1,1,2,Yello,8
144,B,During,Hall,1,1,1,2,Yello,9
145,B,During,Hall,1,1,1,1,NP,10
146,B,During,Hall,1,1,5,3,NP,11
147,B,During,Hall,1,1,1,1,NP,12
148,B,During,Hall,1,1,1,1,Yello,13
149,B,During,Hall,1,1,1,0,NP,14
150,B,During,Hall,1,1,1,0,NP,15
151,B,During,Hall,1,1,1,3,NP,16
152,B,During,Hall,1,1,1,1,NP,17
153,B,During,Hall,1,1,1,0,NP,18
154,B,During,Hall,1,1,1,1,Yello,19
155,B,During,Hall,1,5,1,2,White,20
156,B,During,Hall,1,1,1,2,Yello,21
157,B,During,Center,1,1,1,0,NP,1
158,B,During,Center,1,1,1,0,NP,2
159,B,During,Center,1,1,1,0,NP,3
160,B,During,Center,1,1,1,0,NP,4
161,B,During,Center,1,1,1,1,NP,5
162,B,During,Center,1,1,1,0,NP,6
163,B,During,Center,1,1,1,3,NP,7
164,B,During,Center,1,1,1,3,Yello,8
165,B,During,Center,1,1,1,1,NP,9
166,B,During,Center,1,6,1,1,Cyan,10
167,B,During,Center,1,1,1,1,NP,11
168,B,During,Center,1,1,1,1,NP,12
169,B,During,Center,1,1,1,2,Yello,13
170,B,During,Center,1,1,1,1,NP,14
171,B,During,Center,1,1,1,1,Yello,15
172,B,During,Center,1,1,1,2,NP,16
173,B,During,Center,1,1,1,3,NP,17
174,B,During,Center,1,1,1,2,NP,18
